Date,Price,Open,High,Low,Vol,Change %
10/16/2023,"51,500","52,400","52,400","50,400",13.41K,0.19%
10/13/2023,"51,400","51,700","51,700","50,500",13.60K,1.38%
10/12/2023,"50,700","50,600","51,900","50,600",0.60K,-2.31%
10/11/2023,"51,900","52,400","52,900","50,600",0.40K,0.78%
10/10/2023,"51,500","50,500","51,600","50,500",1.00K,0.39%
10/6/2023,"51,300","51,800","51,800","51,300",0.20K,-1.16%
10/5/2023,"51,900","49,500","51,900","49,500",0.20K,-0.95%
10/4/2023,"52,400","51,900","52,400","51,900",0.20K,1.95%
10/3/2023,"51,400","50,200","51,400","50,200",1.20K,-0.77%
10/2/2023,"51,800","48,700","51,800","48,700",0.20K,-4.95%
9/29/2023,"54,500","49,600","54,800","49,600",7.50K,5.01%
9/28/2023,"51,900","52,700","52,700","51,900",0.30K,0.00%
9/25/2023,"51,900","52,800","52,900","50,300",1.30K,0.00%
9/22/2023,"51,900","50,400","51,900","50,400",0.30K,-1.14%
9/21/2023,"52,500","51,800","52,500","51,400",1.10K,1.16%
9/20/2023,"51,900","52,200","52,200","50,300",1.50K,-0.19%
9/19/2023,"52,000","52,300","52,300","50,300",1.20K,-0.76%
9/18/2023,"52,400","52,900","53,000","50,500",2.30K,-0.57%
9/15/2023,"52,700","50,000","52,900","50,000",0.76K,-0.38%
9/13/2023,"52,900","52,000","52,900","52,000",0.20K,1.73%
9/12/2023,"52,000","51,500","52,300","51,000",1.00K,-0.57%
9/11/2023,"52,300","50,100","52,900","49,800",0.51K,0.19%
9/8/2023,"52,200","52,600","52,600","50,000",0.70K,-0.76%
9/7/2023,"52,600","50,000","52,600","50,000",0.20K,-0.94%
9/5/2023,"53,100","53,100","53,100","53,100",0.10K,-0.75%
8/31/2023,"53,500","51,300","53,500","51,300",2.30K,3.88%
8/30/2023,"51,500","51,100","51,500","51,100",0.50K,-0.96%
8/28/2023,"52,000","48,100","52,000","48,100",0.70K,0.97%
8/23/2023,"51,500","51,500","51,500","51,500",0.10K,-0.58%
8/22/2023,"51,800","51,900","51,900","49,000",0.40K,2.17%
8/21/2023,"50,700","51,600","51,600","48,500",0.50K,4.11%
8/18/2023,"48,700","49,000","52,500","48,700",6.50K,-7.94%
8/17/2023,"52,900","52,900","52,900","52,900",0.11K,6.01%
8/16/2023,"49,900","49,900","49,900","49,900",0.10K,0.81%
8/15/2023,"49,500","49,600","49,600","49,500",5.20K,-0.80%
8/14/2023,"49,900","49,900","49,900","49,900",0.10K,0.60%
8/11/2023,"49,600","49,600","49,600","49,600",1.30K,-0.40%
8/10/2023,"49,800","49,600","50,000","49,600",2.95K,-0.40%
8/9/2023,"50,000","50,000","50,000","50,000",0.10K,0.20%
8/8/2023,"49,900","49,300","49,900","49,300",0.75K,0.81%
8/3/2023,"49,500","50,000","50,000","49,500",3.23K,-1.98%
8/2/2023,"50,500","51,000","51,000","50,500",0.50K,-2.51%
8/1/2023,"51,800","51,000","51,800","51,000",3.00K,-5.65%
